ID,Case Number,Place,PlaceID,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic
13513671,JH327075,East Haddam,49,006XX E 79TH ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False
13513587,JH328135,Meriden,32,029XX W NORTH AVE,0496,BATTERY,AGGRAVATED DOMESTIC BATTERY - KNIFE / CUTTING INSTRUMENT,APARTMENT,False,True
13511953,JH326273,Easton,50,100XX W OHARE ST,0810,THEFT,OVER $500,AIRPORT BUILDING NON-TERMINAL - SECURE AREA,False,False
13512798,JH327268,Marlborough,62,075XX N SHERIDAN RD,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False
13516769,JH324812,Barkhamsted,79,0000X W HURON ST,2250,LIQUOR LAW VIOLATION,LIQUOR LICENSE VIOLATION,TAVERN / LIQUOR STORE,True,False
13516949,JH331368,Granby,81,036XX N Broadway,0860,THEFT,RETAIL THEFT,DRUG STORE,False,False
13513483,JH328028,Ledyard,68,065XX W IRVING PARK RD,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False
13514493,JH328786,Manchester,5,034XX N HALSTED ST,1220,DECEPTIVE PRACTICE,THEFT OF LOST / MISLAID PROPERTY,SIDEWALK,False,False
13513573,JH328104,Chaplin,53,051XX W DIVERSEY AVE,0860,THEFT,RETAIL THEFT,DRUG STORE,False,False
13510608,JH324527,Bethlehem,12,085XX S ABERDEEN ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False
13513050,JH327554,Norwich,72,070XX S ABERDEEN ST,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,RESIDENCE,False,False
13512232,JH326658,Bridgewater,51,0000X E WACKER DR,0810,THEFT,OVER $500,HOTEL / MOTEL,False,False
13513934,JH328549,Stamford,73,031XX N HALSTED ST,0870,THEFT,POCKET-PICKING,STREET,False,False
13512042,JH326260,Canton,29,012XX S ASHLAND AVE,0460,BATTERY,SIMPLE,CONVENIENCE STORE,False,False
13512041,JH326267,New Britain,56,007XX S LEAMINGTON AVE,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,STREET,False,False
13511401,JH325560,East Hartford,30,018XX S OAKLEY AVE,2022,NARCOTICS,POSSESS - COCAINE,STREET,True,False
13511135,JH325252,Hebron,47,002XX E GRAND AVE,0454,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",GROCERY FOOD STORE,False,False
13511103,JH325107,Hartford,16,007XX E 63RD ST,0560,ASSAULT,SIMPLE,LIBRARY,False,False
13511615,JH325580,Canton,29,004XX W BLACKHAWK ST,0460,BATTERY,SIMPLE,STREET,False,False
13512729,JH327073,Bridgeport,45,038XX S WENTWORTH AVE,0498,BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",APARTMENT,False,True
13511139,JH325395,Lyme,42,026XX S MICHIGAN AVE,2170,NARCOTICS,POSSESSION OF DRUG EQUIPMENT,STREET,True,False
13511047,JH325140,Cheshire,15,024XX W 87TH ST,0560,ASSAULT,SIMPLE,STREET,False,False
13510417,JH324306,Avon,20,062XX S DR MARTIN LUTHER KING JR DR,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False
13511826,JH324909,Chester,83,070XX S WESTERN AVE,0560,ASSAULT,SIMPLE,GAS STATION,False,False
13510023,JH323835,Marlborough,62,020XX N CICERO AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,AUTO / BOAT / RV DEALERSHIP,False,False
13514417,JH328826,New London,82,0000X W MAPLE ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER (SPECIFY),False,False
13513193,JH327752,Canton,29,076XX S SAGINAW AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False
13513415,JH327745,Hampton,74,033XX N HALSTED ST,0870,THEFT,POCKET-PICKING,SIDEWALK,False,False
13515003,JH329789,Chester,83,011XX N ELSTON AVE,1220,DECEPTIVE PRACTICE,THEFT OF LOST / MISLAID PROPERTY,RESTAURANT,False,False
13512850,JH327272,Mansfield,41,081XX S YALE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE - GARAGE,False,False
13510443,JH324390,Derby,46,015XX N MILWAUKEE AVE,0460,BATTERY,SIMPLE,STREET,True,False
13513528,JH327107,New Britain,56,006XX W 16TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True
13513612,JH327014,New London,82,032XX E 91ST ST,0460,BATTERY,SIMPLE,SIDEWALK,False,False
13513678,JH328070,Farmington,23,073XX S DREXEL AVE,0330,ROBBERY,AGGRAVATED,STREET,False,False
13514535,JH328384,Bolton,77,005XX W 37TH ST,0810,THEFT,OVER $500,STREET,False,False
13510866,JH324291,Eastford,22,074XX N WESTERN AVE,0820,THEFT,$500 AND UNDER,ALLEY,False,False
13514358,JH324202,Monroe,67,043XX W JACKSON BLVD,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,False,True
13510653,JH324622,Beacon Falls,25,054XX S JUSTINE ST,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,False,False
13512014,JH326303,Greenwich,2,036XX N HALSTED ST,0560,ASSAULT,SIMPLE,RESIDENCE,False,False
13513693,JH327281,Colebrook,76,075XX S WOLCOTT AVE,0810,THEFT,OVER $500,ALLEY,False,False
13511507,JH325722,Manchester,5,069XX W ARMITAGE AVE,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,STREET,False,False
13513139,JH326826,Kent,10,093XX S BENNETT AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,False,True
13512741,JH326973,Lebanon,27,076XX S SAGINAW AVE,0520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,APARTMENT,False,False
13510897,JH324181,Ellington,63,068XX S DORCHESTER AVE,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,False,False
13510450,JH324402,Monroe,67,006XX N WABASH AVE,1330,CRIMINAL TRESPASS,TO LAND,COMMERCIAL / BUSINESS OFFICE,True,False
13510917,JH325016,Farmington,23,063XX N RAVENSWOOD AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False
13514549,JH329308,Burlington,19,033XX N HALSTED ST,0820,THEFT,$500 AND UNDER,SIDEWALK,False,False
13512800,JH327254,Bolton,77,015XX S KEDZIE AVE,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,ALLEY,False,False
13512694,JH326962,Chaplin,53,032XX N OZARK AVE,0820,THEFT,$500 AND UNDER,STREET,False,False
13513651,JH328212,Goshen,84,065XX S WESTERN AVE,0320,ROBBERY,STRONG ARM - NO WEAPON,STREET,False,False
13512053,JH326338,Ridgefield,65,092XX S ADA ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True
13512862,JH327317,Colebrook,76,027XX S STATE ST,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,RESIDENCE - PORCH / HALLWAY,True,False
13510473,JH324442,Enfield,39,014XX S LYNN WHITE DR,2896,PUBLIC PEACE VIOLATION,TIRE DEFLATION DEVICE DEPLOYMENT,PARK PROPERTY,False,False
13510774,JH324794,Deep River,54,048XX W CONCORD PL,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True
13512550,JH326876,Hartford,16,043XX N KEDZIE AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,False,False
13511039,JH325202,Monroe,67,026XX N ELSTON AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,True,False
13516151,JH330219,Hamden,57,055XX W LELAND AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False
13513258,JH327628,Canton,29,033XX S ASHLAND AVE,0460,BATTERY,SIMPLE,APARTMENT,False,False
13512208,JH326472,Bridgeport,45,040XX N LINCOLN AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,True
13511305,JH325256,East Hartford,30,023XX W WINNEMAC AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE,False,False
13510434,JH324359,Preston,78,005XX E 68TH ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False
13512542,JH326905,New Fairfield,69,006XX N CLARK ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False
13514940,JH329683,Ridgefield,65,024XX S TRUMBULL AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False
13512774,JH326112,Preston,78,050XX S WOODLAWN AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False
13512019,JH325537,Cromwell,44,0000X E 49TH ST,0920,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,STREET,False,False
13510254,JH324156,Enfield,39,079XX S MARYLAND AVE,0520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,APARTMENT,False,False
13513985,JH328590,Brookfield,18,014XX W MORSE AVE,0810,THEFT,OVER $500,STREET,False,False
13511583,JH325689,Chester,83,025XX N SOUTHPORT AVE,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,False,False
13511342,JH325449,Groton,1,078XX S MORGAN ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,True
13511285,JH324708,Barkhamsted,79,065XX S EVANS AVE,0810,THEFT,OVER $500,STREET,False,False
13513286,JH327940,East Granby,14,009XX N FAIRFIELD AVE,0820,THEFT,$500 AND UNDER,STREET,False,False
13511773,JH326003,Killingly,13,001XX W 9TH ST,0820,THEFT,$500 AND UNDER,STREET,False,False
13512973,JH327323,Beacon Falls,25,079XX S SACRAMENTO AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True
13517476,JH326180,Goshen,84,002XX W 33RD ST,2820,OTHER OFFENSE,TELEPHONE THREAT,BAR OR TAVERN,False,False
13512436,JH326771,Hartford,16,001XX W 9TH ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False
13515670,JH330563,Enfield,39,058XX S LAWNDALE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False
28214,JH325311,Hampton,74,021XX N NEENAH AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,False,False
13512262,JH326514,Lyme,42,076XX S ESSEX AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,True
13514234,JH325187,Stamford,73,072XX S YATES BLVD,0520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,APARTMENT,False,True
13514885,JH328749,East Granby,14,074XX S SOUTH SHORE DR,0810,THEFT,OVER $500,APARTMENT,False,False
13510150,JH324017,Canterbury,70,023XX N MILWAUKEE AVE,0460,BATTERY,SIMPLE,STREET,True,False
13510081,JH323956,Norwich,72,036XX W DOUGLAS BLVD,2013,NARCOTICS,MANUFACTURE / DELIVER - HEROIN (TAN / BROWN TAR),STREET,False,False
13513356,JH327966,Naugatuck,58,083XX S ASHLAND AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False
